index,content,ans
60,"阅读材料，并回答问题。
材料：在上初一时，小斌经常逃课去网吧，还学会了抽烟。在校期间，为了显示他的“厉害”，经常欺负同学，不遵守班级纪律。同学们对他避而远之，班主任说他无药可救，他反驳道：“对，我就是没人管，没人问，我就是无药可救，不要你管。”初二时，班主任换成了李老师。李老师一开始，就认真了解了每个学生的情况，并形成了成长档案。通过跟同班同学和其他各科老师的沟通，他发现小斌的“变坏”是从父母离婚后开始。而且他发现小斌虽然有一些缺点，但是也有一些特长，比如说他篮球打得好，曾经带领班级篮球队参加比赛获得奖，还喜欢航模。李老师耐心与小斌进行沟通，让他担任篮球队队长，并带头组建航模社团。在班级里，李老师让学习委员当他的同桌，在学习上给予帮助。李老师还联系小斌的父母，反映小斌的情况，希望他们给予更多关爱。在李老师的耐心帮助和引导下，小斌逐渐转变了态度，学习成绩也有所提高。
问题：请结合材料，从教师职业道德角度，评价李老师的教育行为。","材料中李老师的行为符合教师职业道德的相关要求，值得我们学习。
首先，老师的行为体现了关爱学生。关爱学生要求关爱全体学生，平等公正对待学生，对学生严慈相济，做学生良师益友。材料中，李老师没有放弃小斌，努力跟班级同学和各科老师沟通，这说明李老师能够平等的对待小斌，体现了关爱学生。
其次，老师的行为体现了为人师表。为人师表要求教师做到以身作则，团结协作，尊重家长。材料中，李老师不仅在学校中关心小斌的学习，更能及时联系父母，希望家长给予小斌更多关爱，努力形成教育合力，体现了为人师表。
再次，老师的行为体现了教书育人。教书育人要求教师做到遵循教育规律，因材施教，培养学生良好品行。材料中，李老师能够发现小斌的特长特点，根据他喜欢篮球和航模的特点进行因材施教，最终使小斌态度转变，成绩提高，体现了教书育人。
最后，老师的行为体现了爱岗敬业。爱岗敬业要求教师做到乐于奉献，对工作认真负责。材料中，李老师能认真的向同学和各科老师了解小斌，并且耐心地对待小斌，这说明李老师对待工作认真负责，体现了爱岗敬业。
综上所述，作为教师，应当正确理解教师职业道德规范的内容，积极地践行教师职业道德规范，以高尚的师德促进每一位学生的身心健康发展。"
61,"判断正误，并说明理由。有人将《幼儿园教师指导纲要(试行)》中五个领域的教育内容理解为分科上五门课，这种观点错在哪里?
","幼儿园教育指导纲要(试行)》中提出，幼儿园的教育内容是全面的、启蒙性的，可以相对划分为健康、语言、社会、科学、艺术等五个领域，也可作其它不同的划分。各领域的内容相互渗透，从不同的角度促进幼儿情感、态度、能力、知识、技能等方面的发展。
学科是对具有一定关联学科的归类，是授予学位的学科类别，其设置应符合学科发展和人才培养的需要，并兼顾教育统计分类的惯例。"
62,"简答题。美育主要任务是什么？","1、培养和提高学生感受美的能力;
2、培养和提高学生鉴赏美的能力;
3、培养和提高学生表现美、创造美的能力;
4、培养和提高学生追求人生趣味和理想境界的能力。"
63,"简答题。简述少先队活动的基本形式。","少先队的活动形式：
①思想政治教育活动：加强思想政治教育，帮助少年儿童树立革命理想，继承革命传统，培养共产主义道德品质，是少先队活动的重要内容。
②爱科学、学科学、用科学活动，帮助少年儿童学好文化科学知识，为从事社会主义现代化建设和新技术革命做好准备，是少先队的重要任务。
③假期活动，内容丰富、安排得当的假期活动，不仅能使队员得到积极的休息，而且能使他们受到深刻的教育。
④体育、游戏活动。"
64,"简答题。根据班杜拉的理论，影响自我效能感形成的主要因素有哪些?","影响自我效能感的因素主要包括个人自身行为的成败经验、替代性经验、言语劝说、情绪唤醒四个方面。
(1)个人自身行为的成败经验是影响自我效能感的最主要的因素，一般来说，成功经验会提高效能期望，失败的经验则会降低学生的自我效能感，不过，成败经验对自我效能感的影响还要取决于个体对成败的归因方式。
(2)替代性经验，一个人的自我效能感是个人在与环境互动的过程中形成的。当学生看见替代者成功时，就会增强自我效能感;相反，则会降低自我效能感。
(3)言语劝说，用语言说服学生相信自己具有完成给定任务的能力，会使学生在遇到困难时付出更大的努力。
(4)情绪唤醒，在充满紧张、危险的场合或负荷较大的情况下，情绪易于唤起，而高度的情绪唤起和紧张的生理状态会妨碍行为操作，降低个体对成功的预期水平。"
65,"判断正误，并说明理由。教育发展具有历史继承性。","此说法正确。
教育的社会属性包括：永恒性、历史性、相对独立性。
其中相对独立性包括三方面，分别是：质的规定性、历史继承性、与社会生产力和政治经济制度发展的不平衡性。教育历史继承性主要是指不同历史时期的教育都前后相继，后一时期的教育是对前一时期的继承与发展，主要表现为教育内容的继承和教育方法的继承。任何教育都具有历史继承性。"
66,"判断正误，并说明理由。德育过程就是学生品德发展过程。","此说法错误。
德育过程是一种教育过程，是教育者与受教育者双方统一活动的过程，是培养和发展受教育者品德的过程。而品德形成过程是受教育者思想道德结构不断建构完善的过程，品德形成属于人的发展过程，影响这一过程实现的因素包括生理的、社会的、主观的和实践的等多种因素。"
67,"判断正误，并说明理由。人的学习与动物的学习本质上是不同的。","此说法正确。
人类的学习和动物的学习的本质区别是：第一，人的学习除了要获得个体的行为经验外，还要掌握人类世世代代积累起来的社会历史经验和科学文化知识;第二，人的学习是在改造客观世界的生活实践中，在与其他人的交往过程中，通过语言的中介作用进行的;第三，人的学习是一种有目的的、自觉的、积极主动的过程。"
68,"判断正误，并说明理由。学校心理辅导只面向有心理问题的学生。","此说法错误。
学校心理辅导要遵循全员参与，全方位考虑，面向全体学生的原则。其主要对象是全体正常学生。"
69,"简答题。请简述教育对生产力的作用体现在哪些方面?","生产力的发展推动和制约着教育的发展，而教育对生产力的发展也起着巨大的促进作用。
这主要表现在:
(1)教育是劳动力再生产的必要手段。人是生产力中最重要和最关键因素。通过教育可以使人掌握文化科学知识和技术，成为专门的人才。这些人进入生产过程之后，就能不断地促进生产力的发展。教育把可能的生产力转化为现实的生产力，是劳动力再生产的重要手段。
(2)教育是科学知识技术再生产的手段。科学技术是第一生产力。通过教育，可以使科学技术知识从原来为少数人掌握到为更多人所掌握，并且运用到生产实践中，由此推动生产力的发展。
(3)教育是生产新的科学知识技术的手段。教育的主要职能是传递人类已有的科学知识，但它也能承担生产新的科学技术知识的任务，这在高等学校表现得尤为明显。新的研究成果和发明一旦在生产中被应用，就能提高社会生产力。"
70,"简答题。请简述校本课程开发的基本特点。","校本课程的四个突出特征：
(1)实践性：校本课程大多属于实践性课程，而不属于学科类课程。它不以系统知识为基本内容，也不以读书、听讲为主要学习方式，而是围绕学生需要研讨和解决的问题来组织具有多样性、动态性的课程资源，引导学生在调查研究、讨论探究等活动中进行生动活泼的学习。
它强调学生应在活动中学，注重直接体验和经验积累，反对重理论轻实践、重知识轻能力的倾向。
(2)探索性。校本课程是以培养学生的创新精神和实践能力为核心理念。
各门校本课程应是围绕一系列重要问题或挑战性任务而编排学习内容、安排学习活动的，学生便按照一系列课题或主题参加学习活动，在活动过程中收集书面材料和实际材料，进而通过自己的思考、操作以及与同伴的讨论去解决问题或提交作品。
(3)综合性。各门校本课程的内容是围绕一个一个主题或课题而从多种学科和多种现代媒体中收集组织的。
(4)以学生为主体。各门校本课程的构建都把学生的发展置于中心地位。"
71,"简答题。简述中学生发散思维的基本特征。","发散思维具有以下基本特征：
(1)流畅性。即个人面对问题情境时，在规定的时间内产生不同观念的数量的多少。
(2)变通性。即灵活性，指个人面对问题情境时，不墨守成规，能随机应变、触类旁通;对同一问题所想出不同类型答案越多者，变通性越高。
(3)独创性。即指个人面对问题情境时，能独具匠心，想出不同寻常的、超越自己也超越前辈的意见。"
72,"简答题。简述良好的性格培养途径。","(1)树立效仿的榜样
(2)提供实际锻炼的机会
(3)及时进行个别指导
(4)创设优良的集体气氛
(5)鼓励学生自我教育"
73,"阅读材料，并回答问题。
材料：在自由区域活动的时间，凡凡和瑶瑶选择去做工项链。老师为他们提供了材料，并且给了他们制作的步骤。凡凡是按照制作步骤开始制作的，但是瑶瑶却不是按照步骤制作的，凡凡跟老师说:“老师，你看他跟我做的不一样，做的是不对的。”老师听见之后过来找瑶瑶说:“哦，你做的不一样吗?那一会儿等你做完，我们看看你做的什么样。然后瑶瑶特别自信的说:“等着看吧你们。
后来瑶瑶做完了，他做的项链是根据妈妈戴的项链做的，然后他做完之后，老师展示了他的项链，并且表扬了他，还说他观察的很认真仔细。在班上展示了他的作品，后来小朋友们也纷纷的夸赞他，后来老师让瑶瑶去上台讲了他的创作的意图。老师又把其他幼儿的作品一一的给大家来进行了点评。课后老师去积极的整理了这次的教学内容进行反思，经针对经验不足的问题进行了改进，用于以后撰写论文和做课程研究。
问题:请用教师观的内容评价该老师的行为。","该教师的教育行为符合新课改背景下对教师的相关要求，是值得我们赞赏和学习的。
1教师是学生学习的引导者和学生发展的促进者。教师是学生学习能力的培养者，是学生人生的引路人。教师不只是知识的传授者，更应该是学生发展的促进者，这种发展不只是在学业方面，更体现在对学生人格健康成长和个性发展的关心上。材料中，老师得知瑶瑶不是按照步骤制作，没有批评他，而是表达出期待她的作品。体现了老师是学生学习能力的培养者，是学生学习的促进者。
2教师是课程的建设者和开发者。新课程侣导民主、开放、科学的课程观念。教师必须在课程改革中发挥主体性作用，教师不能只是课程的执行者，更应成为课程的建设者和开发者。材料中，老师在自由区域活动的时间，凡凡和瑶瑶选择去做手工项链。金老师为他们提供了材料，并且给了他们制作的步骤。并在学生不按照步骤制作时，给予鼓励和夸赞，邀请其表达创作意图，体现了教师是课程的建设者和开发者。
3.教师是教育教学的研究者和反思者。教师在教学过程中要以研究者的心态置身于教学情境之中，以研究者的眼光审视和分析教学理论与教学实我中的各种问题，对自身的行为进行反思，对出现的问题进行探究，对积累的经验进行总结，使其形成规律性的认识。材料中，老师课后积极的整理了这次的教学内容进行反思，经针对经验不足的问题进行了改进，用于以后撰写论文和做课程研究。体现了教师是教育教学的研究者和反思者。
总之，该教师的行为符合新课改背景下的教师观。树立了正确的教师观，真正的做到了教书育人，值得我们学习借鉴。"
74,"阅读材料，并回答问题。
材料：周老师让学生们续编大灰狼的那个故事，强强的想象力特别好，他讲的故事绘声绘色，但是他在讲到最后的时候，他讲小动物们都打败了大灰狼，然后把大灰狼的头砍下来了，后来让大家都觉得非常的害怕，琪琪还害怕的哭了起来。老师就把琪琪把他抱在怀里，然后说老师在这儿呢，别害怕。后来老师就开展了一个特别愉快的游戏。
再后来周老师就给大家读绘本，读《你看起来很好吃》。老师让大家积极的去说自己喜欢这个故事中的谁，为什么学生们都说喜欢谁谁谁，然后因为他很有爱心，很善良之类的...后来老师就赶紧说，我们要去做一个善良的，有爱心的人，要爱护和保护小动物，不能伤害他们。
请根据教师职业道德来评价周老师的教育行为。","材料中，该教师的做法是正确的，他践行了教师职业道德的要求，值得我们学习借鉴。
(1)该教师践行了“关爱学生""的职业道德。要求教师关心爱护全体学生，尊重学生人格，维护学生权益，关心学生健康，对学生严慈相济，做学生的良师益友。不讽刺、挖苦、体罚或变相体罚学生。材料中琪琪因为绘本中的故事害怕的哭了起来,周老师就把琪琪抱在怀里,然后说老师在这儿呢，别害怕。体现了周老师的教育教学行为践行了关爱学生的职业道德。
(2)该教师践行了“教书育人”的职业道德。要求教师实施素质教育，循循善诱，海人不倦，因材施教。激发学生创新精神，不以分数作为评价学生的唯一标准。材科中周老师给大家读绘本，读《你看起来很好吃》。老师让大家积极的去说自己喜欢这个故事中的哪个人物，为什么学生们都说喜欢谁，因为他很有爱心，很善良之类。体现了周老师的教育教学行为践行了教书育人的职业道德。
综上，周老师的行为是可行的，值得我们学习借鉴。"
75,"简答题。简述幼儿无意想象的主要表现。","(1)想象目的不明确，容易受外界干扰，想象主题不稳定。
(2)想象的内容零散，缺乏系统性。
(3)想象活动只需过程,不在意结果。
(4)想象受情绪和兴趣的影响。"
76,"简答题。简述游戏对幼儿发展的作用。","游戏对幼儿身体、智力、社会性、情感发展具有重大作用。
(1)在身体发展中的作用:①促进儿童身体的生长发育;②发展儿童的基本动作和技能;③增强儿童对外界环境变化的适应能力;④有利于儿童的身心健康。
(2)在智力发展中的作用:①游戏展和加深儿童对周围事物的认识，增长儿童的知识。②游戏促进儿童语言的发展;③游戏促进儿童想象力的发展;④游戏促进儿童思维能力的发展;⑤游戏提供了儿童智力活动的轻松愉快的心理氛围。
(3)在社会性发展中的作用:①游戏提供了儿童社会交往的机会，发展了儿童的社会交往能力;②游戏有助于儿童克服自我中心化，学会理解他人;③游戏有助于儿童社会角色的学习,增强社会角色扮演能力;④游戏有助于儿童行为规范的掌握，形成良好的道德品质;⑤游戏有助于儿童自制力的增强，锻炼儿童意志。
(4)在情感发展中的作用:①游戏中的角色扮演丰富了儿童积极的情绪情感体验;②游戏中的自由自主发展了儿童的成就感和自信心;③游戏中的审美活动发展了儿童的美感;④游戏中的情绪宣泄有助于儿童消除消极的情绪情感。"
77,"论述题。
陈鹤琴说过幼儿发展具有整体性。虽然他把幼儿发展划分为健康，科技，艺术,文学等5类,但是他们是相互作用的。结合陈鹤琴的观点，分析学习和发展的整体。
","(1)陈鹤琴根据五指活动”提出了“整个教学法”，课程结构应该具有整体性，应促进学前儿童整体的有机发展。为此，陈鹤琴以人的五个连为一体的手指作比喻，创造性地提出了课程结构的“五指活动""理论。这五个方面是相互联系的，就像人的五个手指，共铜构成了具有整体功能的手掌。学前教育课程的全部内容包括在这五指活动之中。陈鹤琴先生在整个教学法中，批评当时小学和幼稚园的分科教学法，强调以幼儿经验，身心发展特点和社会发展需要作为选择教材的标准，反对实施分科教学,提倡综合的单元教学，以社会自然为中心，主张游戏式的综合性教学法。整个强调的是学习和发展的整体性。
(2)《指南》中提出:儿童的发展是一个整体，要注重领域之间、目标之间的相互渗透和整合，促进幼儿身心全面协调发展，而不应片面追求某一方面或几方面的发展。
(3)幼儿园各学习领域的内容是综合的，而不是彼此割裂的。幼儿园教育活动整合的方式多以贴近幼儿生活的某一主题为核心，将健康、语言、科学、社会及艺术等各领域的教育内容有机联系有机渗透，以此促进幼儿的全面和谐发展，因此，幼儿园教育活动又具有渗透性。"
78,"阅读材料，并回答问题。
材料：三岁半的蒙蒙，很喜欢和小伙伴一起玩耍,可是奶奶却说:“你还小，出去玩会，被别的孩子欺负的，就在家玩多好。”有时邻居家的小朋友想到家里来找蒙蒙玩，大人常嫌添乱，而替蒙蒙婉言谢绝，于是蒙蒙就只能在家独自玩耍.
问题:试运用同伴对幼儿发展的作用的相关知识，对蒙蒙家长的做法进行评析。","同伴关系是人际交往的重要组成，通过这种同伴交往所形成的同伴关系与同伴经验是幼儿社会性发展的一种需要,对社会性发展起着重要的作用，幼儿阶段孩子就已表现出交往能力的差异。对幼儿来说，进入幼儿园后生活中最经常、最主要的接触者就是同伴。良好的同伴关系是幼儿心理健康发展的重要精神环境，有利于他们形成自尊、自信、活泼开朗的性格，有利于促进其社会化及心智的发展。
材料中,蒙蒙处于三岁半的年龄,渴望与小伙伴玩耍,说明他有与同伴交往的需要。作为家长，应当教会儿童接纳，融洽儿童的同伴关系。要使他们了解受欢迎幼儿的性格特点及自身存在的问题，帮助他们学习如何与他人友好相处;引起他幼儿发现这些幼儿的长处,及时鼓励和表扬,提高这些幼儿在同伴心目中的地位;要使得同伴之间互相接纳成为而儿童的一种日常的交往行为，关注对幼儿交往策略的指导。"
79,"简答题。学习动机强度与学习效果的关系。",耶克斯——多德森定律表明，动机强度与工作效率之间的关系是倒U型曲线关系。一般来说，动机强度处于中等水平，学习效率最高，即动机强度处于中等水平时，工作效率最高。任务容易，动机中等偏高；任务困难，动机中等偏低。
80,"简答题。简述小学德育中实施奖惩法的要求。","奖惩法是教师对学生品德进行肯定或否定的评价，促使品德健康发展。
要求：（1）有明确的目的和正确的态度
（2）公正合理，实事求是，坚持标准
（3）发扬民主，让学生积极参与评价活动
（4）把奖惩和教育结合起来，坚持育人为目的"
81,"简答题。简述文献查阅对教学研究的作用。","(1）帮助研究人员全面正确地掌握所要研究问题的情况，选定研究课题和确定研究方向;
(2)为教育研究提供科学的论证依据和研究方法;
(3)避免重复劳动，提高科学研究的效益。"
82,"阅读材料，并回答问题。
材料：为了改变历史教学总是死记硬背，学生不喜欢上历史课的状况，吕老师采取灵活多样的教学方法。
他在上课时没有拘泥于课本知识的灌输，而是让学生与历史人物做一次""身价互换"":假如你是张良。当一个老人让你到桥下捡鞋子时，你会怎么做?如果捡上来,又让你帮他穿鞋,你会怎么做?你和张良的选择是否一样?
在学习中国近现代史时，吕老师引导学生分析共产党人、爱国志士等在重大历史事件中所发挥的重要作用，思考“如果我生活在那个时代，我会怎么办""等问题。
在吕老师的课堂上，同学们时而引|经据典开展讨论，时而穿越时空“还原’历史或“重构""”历史。吕老师的教学方法深受学生欢迎，很多学因为吕老师而喜欢上了历史这门学科。
问题:请结合材料，从教育观的角度，评价吕老师的教育行为。","呂老师的教育行为是正确的，体现了素质教育观的相关要求。
(1)素质教育观要求教育要促进学生全面发展,对学生的德智体美劳全面培养，不以某个方面优劣排序，不仅仅只重视学习成绩，只重视主科,只重视特长。材料中吕老师时没有拘泥于课本知识的灌输，采取灵活多样的教学方式，体现了重视学生的全面发展。
(2)素质教育观要求促进学生创新精神和实践能力的培养。鼓励学生探索实践、激发学生想象力、肯定学生的新颖想法，不忽视学生好奇心、创新、实践，忌只给标准答案。材料中的吕老师带领全班同学-起做身份互换,穿越年代还原历史，并带领学生一起思考问题并进行讨论体现了吕老师对学生创新和实践能力的培养。
(3)素质教育观要求发展学生的主动精神,促进学生个性健康发展，允许学生自主探索发现、自主思考,发挥特长、因材施教，不填鸭式教学，不刀切、一锅煮抹杀学生个性。吕老师带领学生自主思考，广泛讨论,符合素质教育观的要求。
(4)素质教育观要求着眼于学生的终身可持续发展。教是为了不教,教育不仅要让学生学会，更要让学生会学，不仅要教给学生知识，更要给学生打开知识大门的钥匙。在学习中国近现代史时，吕老师通过灵活多样的教学方式引导学生学习，使很多学生爱上了历史这门学科,有利于学生终身学习以及可持续发展。
(5)从教学的方法上看，素质教育强调启发式、探究式教学，促进学生生动、活泼地学习。材料中的吕老师采用灵活多样的教学方法采用身份互换穿越等方法帮助学生喜欢上历史并给学生提出开放性的问题。符合启发式、探究式的教学。
综上所述，材料中呂老师的教学行为符合素质教育观的要求，值得我们学习。"
83,"阅读材料，并回答问题。
材料：佟老师的物理课总是很受同学们欢迎。在教”物体间摩擦系数”这个主题时，他首先提出一个问题:“把一个铁球放在地上,一只蚂蚁能否推动它?”学生们感到新奇,饶有兴致地进行探索。
有时候，他还带领学生去附近的企业参观，引导学生关注物理知识的实际应用。
在某次教学研讨中，同事向他请教教学经验时，他说:“想让学生喜欢你的课，教师应该做到“四要”:要了解学生、要吃透教材、要调动学生积极性、要把握好教学节奏。这就要求教师善于学习，因为教学有法而无定法。”而后，他们会围绕具体主题,分头提出教学实施思路,在商讨的基础上形成教学设计。年轻教师很喜欢这样的研讨。
佟老师坚持问读物理教学的最新论著，还会利用噻暑假到大学和研究所参加相关研讨活动,有时还自费去参加前沿培训。有人问他:“您已经是名师了，还参加这些培训啊?""他说:”学习既能让学生受益，又能让自2快乐，何乐而不为呢?""
问题:请结合材料，从教师职业道德的角度，评析佟老师的行为。","教师职业道德要求我们教师要做到爱国守法、爱岗敬业、关爱学生、教书育人、为人师表、终身学习”，佟教师的做法是正确的，他践行了以下教师职业道德的要求。
(1)佟老师践行了“爱岗敬业*的职业道德。要求教师志存高远，勤恳敬业，甘为人梯，紆奉献认真备课上课、批改作业、辅导学生。材料中佟老师带领学生去企业参观，引导学生关注物理的实际应用，体现了其爱岗敬业的职业道德。
(2)佟老师践行了“教书育人“的职业道德。要求教师实施素质教育，循循善诱,诲人不倦，因材施教激发学生创新精神，不以分数作为评价学生的唯一标准。材料中佟老师循循善诱提出问题,引导学生进行物理学习，践行了关爱学生的职业道德。
(3)佟老师践行了“关爱学生“的职业道德。要求教师关心爱护全体学生，尊重学生人格，严慈相济保护学生安全，关爱学生健康，不讽刺、挖苦体罚变相体罚学生。材料中佟老师已经是名师，仍对学生关爱有加，让学生喜欢他的课。
(4)佟老师践行了“终身学习“的职业道德。要求教师要树立终身学习理念，拓宽视野,更新知识结构，潜心钻研勇于创新。材料中佟老师坚持研读最新论著，利用寒暑假参加相关研讨活动，自费去参加培训可以体现。
(5)佟老师践行了为人师表*的职业道德。要求教师衣着得体，语言规范,举止文明。知荣明耻，严于律己，以身作则，关心集体，尊重同事。材料中佟老师积极参与研讨,向年轻教师分享经验，尊重同事，并严于律己不断进取新知识，践行了为人师表的职业道德。
综上所述，佟老师践行了教师职业道德的要求,值得我们学习。"
84,"判断正误，并说明理由。全面发展就是学生德智体美劳五方面平均发展。",此说法错误。全面发展与平均发展不是同一概念。全面发展是指学生在德智体美劳等方面都得到发展。
85,"判断正误，并说明理由。教学是学校教育的唯一途径。","此说法是不正确的。中国学校教育的主要途径有教学、课外活动、团队、班级活动和社会实践等。其中，教学是学校教育的基本途径,但不是唯一途径,它与课外活动、班级活动和社会实践等其他教育途径互相配合，都在教育活动中发挥重要的作用。"
86,"判断正误，并说明理由。气质无好坏之分。","此说法是正确的。气质是表现在心理活动的强度、速度、灵活性与指向性等方面的一种稳定的心理特征。即我们平时所说的脾气、秉性。人的气质差异是先天形成的，受神经系统活动过程的特性所制约。孩子刚出生时,最先表现出来的差异就是气质差异。气质类型包括多血质、胆汁质黏液质、抑郁质，每一种气质类型都有自己的优缺点，不能说某种气质好，某种气质不好。因此题干的说法是正确的。"
87,"判断正误，并说明理由。所有的行为变化都是由学习引起的。","此说法错误。所有的行为变化并不一定都是由学习所引起的，药物、疲劳、疾病等因素也会弓|起行为变化,但这不能称之为学习。学习是有机体由练习或经验而引|起的行为或行为潜能比较持久的变化，因此并不是所有的行为变化都是学习的结果，题干说法是有误的。"
88,"简答题。简述学科课程的特点。","学科课程特点:逻辑性、系统性、简约性、完整性学科课程是当今世界各国中小学课程的主要类型，主张分科设置课程，即从学科知识整体中选取关联密切的内容组成一门学科，分科组织教学。
(1)逻辑性和系统性。
我们在学校学习的每]课程就是学科课程的体现，在教师讲授的过程中，知识就是由浅入深,由易到难的呈现在我们的面前。
(2)完整性
在学习的过程中每一门学科是完整性，并环是片面的形式存在。
(3)简约性
在学习的过程中我们以间接经验为主，所以学科课程具有简约性。"
89,"简答题。简述中学教师布置作业的基本要求。","作业布置的基本要求:
1、作业内容要符合新课标和教材的要求，有助于学生掌握基础知识和基本技能，有助于学生智力的开发和能力的提高。
2、教师要向学生提出明确的作业要求，规定完成的时间，必要时要向学生做示范性指导。
3、在设置作业时，要考虑到学生学习水平的层次和差异性。针对学生的不同基础，设计一些有弹性、有层次性的作业，或布置作业时，分成必做题和选做题，以适应不同层次学生的要求，即让优秀学生吃得饱中等生吃得好，又要让后进生吃得了，使每个学生都能在完成作业中得到发展。
4、教师要及时批改、评价、反馈学生的作业。
5、作业份量要适当、难易适度;合理布置作业要把握好质与量的关系。质是精华,量是多少。在作业布置中,题目要精,要适当。"
90,"简答题。简述中学生情绪情感的特点。","中学生的情绪特点主要表现在以下几个方面:
(1)爆发性和冲动性。青少年学生一旦激起某种性质的情感，情绪会猛烈爆发出来,表现出强烈的激情特征，情绪情感冲破理智的意识控制，淋漓尽致地显露出他们对外界事物的爱、恨、不满或恐惧、绝望等情绪。
(2)不稳定性和两极性。少年学生情绪虽然强烈，但波动剧烈，两极性明显,很不稳定,情绪容易从一个极端剧烈地转向另一个极端，他们对事物的看法较片面，很容易产生偏激反应。
(3)外露性和内隐性。青少年学生逐渐学会控制自己的情感表现和行为反应。他们既表现出强烈的情绪情感的反应，对外界事物的喜怒哀乐喜形于色，淋漓尽致地抒发他们的内心感受;又能逐渐掩饰、压抑自己的情绪,使这种情绪的表露带有很大的掩饰性，并逐渐学会用理智控制自己的情绪反应。
(4)心境化和持久性。一方面青少年会因为成功或收获而使快乐情绪体验延长，表现为积极良好的心境;另一方面因挫折或失败会使不愉快的消极情绪延长，表现为不良的心境，青少年的许多不良情绪往往具有情绪心境化色彩。"
91,"简答题。简述人格的特点。","人格有以下特征:(1)人格的整体性。人具有多种心理成分和特质,如能力、气质、性格、意志才智、情绪、愿望、价值观和习惯等,它们并不是孤立存在的，而是密切联系并整合成为一个有机整体。(2)人格的稳定性。人格的稳定性是指个体的人格特征具有跨时间和空间的一致性。(3)人格的独特性。人格的独特性是指人与人之间的心理和行为是各不相同的。人们在人格上的独特性或差异性就是我们通常所说的“个性”。(4)人格的社会性。人格是个体在社会化过程中形成的，是社会人特有的。不同社会的政治、经济、文化对个体有不同的影响，使人格带有明显的社会性。"
92,"简答题。简述高校学生的基本社会特征。","高校学生的基本社会特征主要表现在以下几个方面：
（1）感受时代精神的敏锐性
感受时代精神的敏锐性是指大学生比成年人和其他青年群体，对时代精神的感受更为敏锐，他们比一般成人更容易体察到时代的变化，能够较快地同时代精神产生共鸣。
（2）参与社会活动的积极性
参与社会活动的积极性是指他们总是以这样或那样的方式参与实际的社会生活，并对社会的发展变化产生一定的影响。
（3）群体成员的互动性
群体成员的互动性是指大学生群体与群体、成员与成员之间互相影响，互相促动，形成一种比较统一的群体行为。
（4）内部结构层次的复杂性
内部结构层次的复杂性包括新、老生之间，不同学科专业的学生之间，来自不同地区学生之间，不同家庭背景学生之间，心理上存在着一定的差异。"
93,"简答题。简述高校教师的社会地位和作用。","高等学校的教师是高等学校的教育者，他们既是某一学科的专家，又是教育教学工作的承担者。因此，高校教师有其特定的社会地位，发挥着特殊的社会作用。
（1）高校教师的社会地位主要体现在以下几个方面：
①高校教师的社会功能。职业的社会功能是指一定的职业对于社会的作用，某一职业的社会作用越大，其职业的社会地位也就越高。高校教师肩负着为祖国、社会培养高级专门人才的重任，在社会上享有崇高的社会地位。
②高校教师的经济待遇，经济待遇是指社会给予某一职业从业人员的物质报酬，包括工资及福利，一般来说，某一职业的经济待遇水平由该职业的劳动性质和劳动形式决定，教师职业是一种专门的职业，教师劳动属于复杂劳动，因此，教师的劳动具有较高的价值。
③高校教师的权利，职业的社会权利是指某一职业的从业人员在履行职责时所享受的各项权利，职业从业人员享有的社会权利的范围、程度与该职业社会地位的高低密切相关。
④高校教师的专业化程度，教师职业作为专门职业，对从业人员各个方面都有很高的要求。
（2）高校教师的作用主要体现为以下两个方面：
①高校教师通过继承、传播、发展和创造人类科学技术、文化知识，来培养各类高级专门人才，促进社会经济文化的发展。
②高校教师通过社会服务，直接推动社会物质文明和精神文明的建设。高校教师利用自身丰富的知识和科研优势，参与国家和地方的科研项目，为社会提供科技服务，制造科研产品，直接参与社会物质财富的生产、创造；通过社会活动，传播精神文明成果，促进社会精神文明的发展。"
94,"简答题。简述高等学校教师的任务。","高等学校的基本职能一般有三种：培养人才、发展科学、为社会服务，高等学校要完成这三种职能，主要通过教师的工作来实现。因此，高校教师的任务主要有以下几方面：
（1）教书育人
每个教师都应积极承担教学工作，认真搞好教学，努力提高教学质量，完成教书育人的任务。高校教师要根据专业设置、培养目标的要求，并遵循大学生身心发展的规律，认真钻研教材，精心组织教学，在传授知识、发展学生智能的同时，还要对学生进行思想品德教育，帮助、引导学生树立正确的人生观和价值观，以培养出全面发展的、高素质的社会主义建设人才。
（2）科学研究
高校教师要通过科学研究，不断提高自己的学术水平，掌握科学研究的规律和治学的方法，从而丰富、更新教学内容，有效地指导学生从事科学研究工作，培养学生的科研能力。同时，教师通过科学研究，可以站在本专业领域的前沿，使自己的研究成果在本学科处于领先地位，从而促进学科发展和专业的改造。因此，高校教师必须把教学与科研更加紧密地结合起来，互相促进、相得益彰，把科学研究当作自己应有的职责。
（3）为社会服务高等学校的现代化和开放性，使得它与社会经济发展、科技进步有着越来越密切的联系。教育尤其是高等教育作为一项产业，应该充分发挥对社会的服务功能。高校教师应该利用自身的丰富知识和科研优势，通过学术报告、科技咨询、培训人才等多种形式为社会服务，创造物质财富和精神财富。在为社会服务的过程中，教师又可以更深入地了解社会对人才培养的要求，了解对高校科研方向的需求，更好地提高教学和科研水平。"
